id,titulo,fragmento_id,texto_fragmento,cluster,x,y
ep111,El Mito de Taiwán (y el cambio de perspectiva),11,"podcast. Y la idea del episodio es que no sea tan largo, así que vamos a ir de alguna u otra forma cerrando con una cosa, y es que este semestre en particular se parece muchísimo a un semestre que viví... un par de años atrás en 2023 también fue el segundo y es que estos tres últimos años han sido como los más increíbles que yo he vivido por la cantidad de cosas que han sucedido buenas y no tan buenas y en ese semestre en específico se cumplían ciertas condiciones estaba haciendo mi primer evento de TEDx con mi universidad Claramente estaba el podcast también presente. Tuve mi primer trabajo. Estaba organizando también otros eventos. En la vida personal estaban pasando muchísimas cosas. En mi vida personal estaban pasando muchas cosas. Falleció mi abuela. Digamos que eso fue bastante fuerte. Además de eso, en la universidad estaba viendo",5,-1.2474809,4.456619
ep111,El Mito de Taiwán (y el cambio de perspectiva),12,"cálculo integral que... Para mí es como una patada en el culo, realmente. Entonces como que se juntan un montón de cosas que al final como que al evento le fue espectacular. Cosas que no me gustaron de ese evento las mejoré en los siguientes. Pero con el resto de cosas de mi vida, o sea, realmente nada funcionó. O nada salió como yo esperaba, como yo quería que saliera. Ese primer trabajo, que no sé si lo mencioné, pero tuve mi primer trabajo formal. Ese primer trabajo tuve que dejarlo. Perdí cálculo integral. Bueno, el evento sí fue un éxito. Mi podcast desde ese momento empezó a ser muchísimo más intermitente que ahorita estoy retomando. con episodios juiciosos, pero en ese momento empezó a irse al carajo, esa constancia. Y al fin y al cabo, tenía muchas cosas sobre mi plato que eran espectaculares, pero al final nada funcionó.",5,-2.353798,5.0840898
ep111,El Mito de Taiwán (y el cambio de perspectiva),13,"Y precisamente yo siento también que fue porque tenía demasiadas cosas en el plato. Entonces me llené antes de tiempo y como que quedó todo eso ahí pendiente. Este semestre es muy parecido. O siento que... Este semestre me recuerda mucho a 2023, solo que ahorita lo estoy abordando de una manera mucho más distinta. O sea, tengo el TEDx, que va a ser en un mes. Tengo el podcast y ahorita estoy retomándolo con fuerza. Estoy viendo cálculo vectorial, que es el nivel mucho más avanzado y maldita sea de cálculo integral. Además de eso estoy viendo ecuaciones diferenciales, que es el primo hermano que dan ganas como de pegarle también. Y este semestre han llegado ciertas oportunidades para tener trabajo, solo que por el mismo tema del tiempo realmente la vida no va para tanto. Es como un caldo de cultivo para que muchas cosas probablemente puedan salir",5,-1.8344713,4.889574
ep111,El Mito de Taiwán (y el cambio de perspectiva),14,"mal. Pero... El cambio vino en abordarlo distinto. ¿Por qué? Porque en el 2023 yo me enfrenté a ese monstruo que se llama cálculo integral de... O sea, solo. No pedí ayuda de ningún tipo. Y pues al final eso no me ayudó en nada porque perdí la materia. Digamos que el TEDx salió muy bien también porque tenía bastante apoyo de mi universidad. Pero el resto de cosas salieron mal. Y bueno, como les decía, este semestre estoy teniendo clases particulares de cálculo vectorial, de ecuaciones diferenciales, porque realmente me di cuenta de que no puedo solo. Y que tengo que esforzarme el doble y necesito que alguien me explique como si fuera un niño de 5 años. Bueno, no, no como si fuera un niño de 5 años, pero realmente con más paciencia para que uno se dé cuenta de dónde están los vacíos de ese conocimiento. Porque",6,-2.5038352,5.1227455
ep111,El Mito de Taiwán (y el cambio de perspectiva),15,"básicamente estas materias son puras bases fundamentales, bien fundamentadas. Y bueno, ya el resto, digamos, que va solo, entre comillas. Entonces, estoy recibiendo apoyo de ese lado. El TEDx, digamos que en 2023 fue increíble hacerlo con mi universidad. Con esta universidad está siendo un poco más distinto, pero estoy teniendo la oportunidad de trabajar también con unos voluntarios increíblemente comprometidos, cosa que no me pasa en mi ciudad. Entonces, como que, bueno, son unas por otras. Y está siendo igual de emocionante el proceso. A pesar de que hay que hacer un montón de vainas, tengo un equipo en el cual confío y con el que sé que vamos a sacar el evento adelante y va a salir muy pro. Con el podcast también estoy recibiendo ayuda profesional. Gracias, Bianca. Un saludo si estás escuchando esto. Un abrazo, en serio. La ayuda que le estás brindando inminente es invaluable.",5,-1.5404508,4.6879597
ep111,El Mito de Taiwán (y el cambio de perspectiva),16,"Y creo que es eso. En este momento es eso. Lo que puede salir mal de las cosas que estoy haciendo. y cómo lo estoy abordando diferente, que básicamente es, oiga, pide ayuda de vez en cuando, si no es capaz solo pide ayuda, busque un equipo de gente igual de loca que usted, porque hay muchas cosas, yo también pensaba que para algunas cosas se necesitaba mucha plata, pero solamente hay que vender, por lo menos en el caso de los eventos y todo esto, hay que vender bien la idea, o sea, venderla bien vendida, con lo del TEDx. Igual, no quiero mentir acá, porque siento que en esta universidad la cultura del voluntariado está mucho más normalizada. Entonces, soy afortunado de hacer el evento acá. Pero bueno, esa es la diferencia entre mi 2023 y mi 2025. Espero no enloquecer cuando se termine el semestre. Que ya",6,-4.1882606,5.7667975
ep111,El Mito de Taiwán (y el cambio de perspectiva),17,"queda un mes. Pero bueno. Eso es todo. Gracias por escuchar hasta el final este episodio. A la final hablé 18 minutos. Nada mal. Y nada. Dejen sus comentarios. Compartan el episodio si les hizo sentido algo de lo que dije. Y nos vemos en la próxima semana. Con un nuevo episodio de Inminente. Que va a salir uno el lunes. Con Aleja de Nao. Que es una crack. súper joven que ha logrado una cantidad increíble de cosas en su vida y está muy bueno el episodio llegamos a conclusiones muy chéveres como que la edad no es un impedimento sino que puede ser un superpoder que un título no quiero decir que no importe porque o sea es importante pero no es infalible y ella es la muestra viva de eso así que no dejen de escuchar el episodio y Ah, tan marica yo. Este episodio sale después",5,-0.50881535,4.056157
ep111,El Mito de Taiwán (y el cambio de perspectiva),18,"del de Aleja de Nao. Así que si no han escuchado el episodio de Aleja de Nao, salió este lunes. Vayan a escucharlo que está muy bueno. Y entonces en ese orden de ideas, nos vemos la siguiente semana con un episodio el miércoles. Chao.",2,-0.44718626,3.8187828
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,1,"﻿ Para mí la pregunta de qué tal si es como un viaje en un mundo de posibilidades infinitas. Ese segundo antes de uno empezar un proyecto nuevo y decir qué tal si hago X o qué tal si hago Y. Y lo que me parece realmente especial es que cuando uno se atreve, uno no sabe a dónde va a llegar realmente, pero sí sabe que se está moviendo. Porque a la final, cuando uno da el primer paso, el plan que uno tenía se va a la mierda. Pero acá hay una cosa y esa pregunta de qué tal si puede ser. ¿Un motor o un freno? Para una persona como yo, que es más atravesada que una mula sin frenos, es un motor increíble, es una ayuda magnífica. Pero para una persona tímida, que no se atrae y que lo piensa demasiado, es muy difícil. Hoy vamos",6,-4.275697,5.425992
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,2,"a decodificar esa pregunta. Y para hacerlo, yo tuve la posibilidad de hablar con Giovanni Stella. Un tipo que se sintió atrapado y usó el, venga, vamos a probar a ver qué pasa, como su primera llave de escape. Era un espacio que me permitía salirme también de algunas dinámicas en familia para muy autoritario, muy estricto. Entonces en casa muchas veces había un clima muy severo y eso empezó a ser como el primer espacio mío para salirme de esas cosas y descontrolarme un poco. la banda de rock fue su primer espacio pero una cosa es tener un hobby para escapar y otra muy distinta es intentar convertir ese escape en tu vida ahí chocó contra el muro y en un cierto momento tuve una discusión con mi papá había incluso pensado a los 18 cuando tenía que escoger qué estudiar le propuse estudiar conservatorio Y él me",7,-5.467764,4.680635
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,3,"dijo, no hay chance que tú estudies conservatorio. Si lo quieres hacer, hazlo, pero tienes que ir de mi casa y todo vas a pagar tú. Y eso, no sé, yo no tenía la cabeza, no tenía la... No tuve la valentía en ese momento de pararme con mi papá. Y decir, bueno, entonces sí lo voy a hacer. Ese primer salto fue frenado en seco. Pero, ¿qué pasa cuando esa figura de autoridad, esa jaula, que irónicamente también era su red de seguridad, desaparece? Para Giovanni, ese momento llegó de la forma más dura. Después de que muere mi papá en 2006, eso para mí fue un momento durísimo a nivel personal. y de mucha introspección porque me tuve que reconstruir de alguna manera. O sea, cuando me vi papá me doy cuenta o sí, me di cuenta que estaba muy frágil. Y ahí fue donde yo también, ¿sabes?",3,-5.4451804,4.4421883
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,4,"Por un lado empecé a sentirme, sí, más frágil y más débil, pero por otro lado en un cierto sentido más libre. Es en ese vacío que Giovanni ya no tiene que pedir permiso para saltar. Ahora tiene que saltar para sobrevivir. Y es aquí donde él construye la mentalidad de él. ¿Qué tal si una herramienta para combatir el miedo? La cabeza humana siempre te lleva a pensar en lo negativo. ¿Será que soy capaz? ¿Será que me va mal? ¿Pero qué tal que después me haga falta esto, que me haga falta el otro? ¿Qué tal que no me vaya bien con el trabajo? Tú también estás en todo momento, en todo derecho de decir, pero qué tal que sí, qué tal que me vaya bien, qué tal que descubra que es mejor, qué tal que termine en un proceso de crecimiento personal que me deje mejor de",6,-5.9617796,5.9187303
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,5,"lo que soy hoy. Y es muy bonito el momento que empiezas a adoptar esa mentalidad, es muy bonito. Es muy bonito porque empiezas a ver literalmente cualquier situación retadora como una forma de llegar a hacer algo mejor de lo que eras. Giovanni usa el qué tal si para darse permiso para saltar. Y una vez que aprendió a usar esa herramienta, parse, no paró. Empieza a estar atento a lo que estaba pasando. Y lo que estaba pasando en esa época, 2007, que Google se estaba volviendo famoso, conocido. Y Google, para quien lo vivió en ese momento, fue una revolución por el buscador mismo como producto. Fue una ventana en el mundo, una cosa que de repente te daba acceso a información de verdad, que era una cosa que no existía antes. En vez de ir a una biblioteca para buscar noticias, las tenías en tu computadora.",6,-4.236559,4.7966504
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,6,"Y al tiempo se estaba haciendo conocer por... su cultura interna. Los principios, el hecho de enfocarse en el usuario, el tema de la meritocracia, que no se necesita un traje para que te tomen en serio. Muchas cosas que en ese momento para mí y frente a la cultura italiana con la que yo estaba acostumbrado a medirme me parecían revolucionarias. Entonces yo sentí por primera vez Una cosa de decir, yo quiero estar ahí, yo quiero trabajar para una compañía así. Y ahí empecé a aplicar y apliqué un sinfín de veces, pero en principio pensando en Google Miran. Y de repente se abrió una posibilidad de participar en un proceso en Dublín. Y de esas cosas que te metes diciendo, bueno, vamos a ver qué pasa. Y termine quedando. ¿Y cómo pasan esas cosas en la vida? Quedas y tienes dos semanas para entender que te vas",6,-4.629932,5.5927534
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,7,"a mudar a otro país y que estás cambiando vida de verdad. Esa cosa, por ejemplo, es aterradora por un lado, pero también es de las cosas que más lo hacen crecer a uno. Y me llama Fernando y me dice que estaba buscando, que él había regresado a Buenos Aires con Google y que estaba buscando un manager para su equipo, que si no me interesaba eso. Y yo desde chiquito crecí un poco con mucha simpatía hacia los argentinos, porque parte de mi familia es de Nápoles y cuando yo era chiquito eran los años de Maradona. Yo crecí con ese mito de los argentinos y de Maradona y los argentinos que eran como nuestros primos. Y después algunos de mis mejores amigos, uno de mis mejores amigos, la mamá se fue a vivir a Buenos Aires. Entonces él viajó varias veces a Buenos Aires. Entonces, nada, era",6,-5.318988,4.9483104
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,8,"de esos lugares que en mi cabeza... Me fascinaba mucho. Durante el MBA me hice amigo de muchos argentinos. Ahí fue donde empecé a obligarme a tratar de comunicar en español. Yo no había estudiado español, pero salía con ellos. Sabes, esas situaciones que se dan, que son incómodas, que tú sales con otros y todos hablan un idioma, pero tratan de hablar inglés para no hacerte sentir mal a ti. Y entonces yo dije, yo siempre había tenido en la cabeza el sueño de aprender a hablar español. Entonces dije, bueno, ustedes hablen español, yo trataré de entender. Pero así, con ese nivel de conocimiento del idioma, hice las entrevistas en Google Argentina. Afortunadamente estaba Fernando y también el country manager en ese momento de Google, Dino Cataruzzi, me conocían. Entonces, nada, me apoyaron mi candidatura y terminé recibiendo una oferta y como soy yo dije, ¿por qué no?",6,-5.5865808,4.779489
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,9,"¿Por qué no? Vamos, vamos, porque ¿cuándo más me va a volver la oportunidad de irme a Argentina de verdad? O sea, yo sé que puedo quedarme en Dublín. Y volver de alguna forma a algo que conozco, que es la vida en Dublín, trabajando para Facebook, que ya conocía. O puedo también hacer una cosa que está completamente por fuera de cualquier plan de vida que yo hubiese tenido, que me parece increíble como oportunidad. Me empiezan a hablar de una posición para manejar Centroamérica y Caribe. desde Bogotá una posición que en ese momento todavía no estaba cierto que se fuera a abrir pero que era probable que sí que era una posición interesante a nivel de carrera porque significaba empezar a reportarle a una vicepresidente y tener el título de country manager a pesar de que era un equipo de cuatro personas solamente y efectivamente cuando se",6,-5.076745,5.078929
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,10,"abre esa posición yo aplico y termino quedando con con el cargo. Entonces, una vez más, me mudo ahí con mi ex esposa y llegamos a Bogotá. Yo no tenía... Esa vez fue la primera vez que me mudé a un país que acepté una oferta sin ni siquiera nunca haber estado en ese país. Entonces, yo... La llegada a Bogotá también fue... Un shock, digamos, porque no tenía idea de que estuviera en montaña, no tenía nada. Sabía nada yo de Bogotá. Y bueno, esto suena increíble, pero seamos honestos. El qué tal si también tiene un costo. Y a mí eso me pasa ahora. Siento que esa culpa me llega por hacer cosas que yo sé que me están aportando valor. Mi podcast, mis eventos, pero de algún modo dejan desatendidas otras que son mis responsabilidades. Por ejemplo, la universidad. Muchas veces he puesto por delante lo que",6,-4.858713,4.582436
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,11,"me emociona y me gusta hacer. Y la universidad ha pasado a un segundo plano. Y a veces digo, ¿por qué hice eso? Y bueno, esa culpa, ese sentimiento es real. Y Giovanni lo sintió. Pero cuando llego a Buenos Aires, el golpe fue duro. O sea, los primeros tres meses me costó mucho. Porque... Sabes, una cosa es cuando sí, sales una vez cada tanto con amigos argentinos y tratas de decir dos o tres palabras y aprender un poco más. Otra cosa es vivir y estar rodeado de gente que habla en un idioma diferente que tú no hablas. Tratar de comunicarte y no poder hacerlo con la sensación que estás literalmente al otro lado del mundo. ¿Por qué estás al otro lado del mundo? Entonces, porque sabes, una cosa, esos son todos los juegos mentales que uno se hace para ganarle al miedo, ¿no? Entonces, la primera",6,-5.7916975,4.8263364
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,12,"vez que te mudas, cambias de país, te mudas de Italia a Irlanda, y una de las cosas que te dices es, bueno, igual es un vuelo de una hora. O sea, cualquier cosa, yo en dos horas puedo estar en mi casa. Claro, una vez que te vas a Buenos Aires. Tardas 15 horas de vuelo a llegar a tu casa. Y entonces, tratar de encontrar otras formas de acostumbrarme a eso. Y también, después de solo un mes de haberme mudado a Buenos Aires, A mi mamá le encuentran un cáncer, cáncer de estómago. Y ahí entro también otra vez en una dinámica compleja, también personal. No le consideré incluso regresar a Italia para estar con mi mamá. Lo hablé con ella y al final decidí quedarme. trabajando en Buenos Aires, apostando de alguna manera en mi carrera. Viajando mucho, porque viajaba todos los meses a Milán para",7,-5.100777,4.276154
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,13,"estar con mi mamá, pero terminó siendo una decisión muy difícil y una cosa con la que después tuve que lidiar por mucho tiempo, porque... ese sentido de culpa de alguna forma de no haber de haber decidido apostar en mi carrera y no haber acompañado a mi mamá en lo que terminó siendo el último año porque después ella murió al año siguiente yo siento que yo realmente no he saltado al vacío en el sentido explícito de quemar los barcos al final lo mío han sido riesgos controlados ninguno ha representado un peligro para mis necesidades básicas Pero los saltos de Giovanni eran de otro nivel. Y sin embargo, mis riesgos controlados y sus saltos al vacío nacen de lo mismo. Y es de algo que hemos escuchado más de una vez. Y es 1 % de probabilidad y 99 % de fe. Y bueno, cuando haces ese",6,-5.647669,5.240491
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,14,"salto, sea controlado o no, el plano original se derrumba. Tienes que empezar a pivotar. Y bueno, la pregunta es, ¿cómo hace uno para pivotar y para responder a la incertidumbre? Giovanni tiene una forma muy interesante para manejar esa dificultad, esa angustia, esa culpa. Mi forma al final de enfrentar las dificultades siempre ha sido, de un cierto momento en adelante, siempre ha sido parcerizar la dificultad. Achiquitando lo haces en pedacitos más chiquitos en donde todo se vuelve un paso a la vez, un día a la vez. Es lo mismo cuando dejas de fumar. Yo fumé mucho tiempo. Y la forma de salir de esto también es un día a la vez. En cada momento, si quieres, tienes la cajita al lado para volver a fumar. Pero ¿qué tal que logres hacer un día más? Intenta hacer un día más. Bueno, si llegaste hasta acá es porque",3,-5.9370003,5.2547445
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,15,"te está gustando el episodio. Así que te voy a pedir un favor que te toma 5 segundos. Y es que califiques Inminente Podcast en la plataforma en la que te encuentres. Sea Spotify, sea Apple Podcast, sea YouTube. Porque eso nos ayuda muchísimo a seguir trayendo contenido de calidad e invitados geniales como Giovanni Estela. Así que, sin más que decir, continuemos con el episodio. Parcelizar la dificultad. Esa es su herramienta. La mía en este caso... Cuando yo siento esa culpa por la universidad o cuando el plan de un evento se derrumba es un poco distinta. Yo me digo a mí mismo, parce, venga, hay que ir con su avena y su pitillo. O sea, con calma, un pasito a la vez, no pongamos tantas cosas en el plato porque no voy a ser capaz. Y al final no importa si tu herramienta es parcializar o ir",5,-1.1965417,3.7812262
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,16,"con su avena y su pitillo, lo que importa es tener una. Porque la mentalidad del qué tal si... No sirve de nada si no tienes un plan para manejar el caos que todo eso trae. Sí, de tratar de disfrutar la vida, de mantener una mentalidad abierta, de no decir, o sea, de tener valores firmes, pero también estar abierto a que pasen cosas que no están planificadas en tu vida. Y de tratar de recibir todo como algo bonito. Como algo que te va a ayudar a... O sea, de buscarle siempre el lado bueno a todo lo que te pueda pasar. Porque al final, pues, es una decisión de uno, ¿no? Cómo ve cada situación. En donde te terminas encontrando, la vida te va tirando por todos lados. Y te va metiendo en una serie de situaciones. en donde cosas buenas y cosas malas pasan literalmente de",6,-4.489369,5.9186406
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,"la nada. Y tú todos los días, en todos los momentos, tienes la posibilidad de ver las cosas positivamente o negativamente, o con optimismo o de manera negativa. Y si logras hacerlo buscando un lado bueno... Y además tienes claridad sobre lo que quieres lograr, etc. Creo que te estás poniendo tú mismo en un muy buen camino para que las cosas te vayan bien. Y bueno, el aprendizaje aterrizado de hoy no es que quemes tus barcos, es que reconozcas que, como yo, tal vez puedas tomar un riesgo controlado. Es el proyecto que solo tiene 1 % de probabilidad y 99 % de fe. Y la invitación de hoy es simple. ¿Cuál es ese pequeño qué tal si al que por fin le vas a dar una oportunidad? Y bueno, ya se terminó el episodio, pero no se acaba la diversión, porque adivina qué, en Inminente Podcast hay",6,-4.513845,5.5412493
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,18,"más de 100 episodios publicados. Así que en este momento te invito a que te vayas a la descripción de la plataforma en la que estés, sea YouTube, sea Spotify, sea Apple Podcast, y vayas a darle un vistazo a los episodios que te recomiendo, que tienen un vibe muy parecido al de... el día de hoy y nada muchas gracias por escuchar hasta el final y nos vemos la semana que viene con un nuevo episodio de Eminente Podcast",4,-0.9581248,3.6701784
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,1,"﻿ Hola y bienvenido a un nuevo episodio de Inminente Podcast. En esta semana tenemos una invitada muy especial. Porque normalmente cuando uno está joven y piensa en cómo se va a desarrollar su vida profesional, su vida personal, piensa de primerazo en la universidad. Pero esta persona, esta invitada, ¿qué mueve ese libreto? Dijo, venga. Para mí la universidad no es la mejor opción. Yo voy a coger por otro camino, que es el de entrar en contacto con el mundo real desde una etapa muy, muy temprana. Y eso le dio unos resultados, le ha dado unos resultados hasta el día de hoy increíbles. Y bueno, a lo largo del episodio ya va a desarrollar un concepto que a mí me parece brutal, que es pasar de querer quedar bien en la vida con otros, etc. A uno realmente útil, que lo lleva a uno a... hacer cosas",5,-0.772086,4.075951
